x,y,E_x,E_y,E_z
0,0,-0.0,-0.0,-0.0
0,1,-0.0003520155673395283,-0.0,-0.0
0,2,-0.0007064609624123113,-0.0,-0.0
0,3,-0.0010541359986614921,-0.0,-0.0
0,4,-0.001409090244185371,-0.0,-0.0
0,5,-0.0017505501768312105,-0.0,-0.0
0,6,-0.0021041077620384467,-0.0,-0.0
0,7,-0.0024375393346762237,-0.0,-0.0
0,8,-0.00278783506015353,-0.0,-0.0
0,9,-0.003111510079055479,-0.0,-0.0
0,10,-0.0034567422655829134,-0.0,-0.0
0,11,-0.003769039190874983,-0.0,-0.0
0,12,-0.004107490578635653,-0.0,-0.0
0,13,-0.0044069133209033275,-0.0,-0.0
0,14,-0.004736969077451661,-0.0,-0.0
0,15,-0.0050221624620911355,-0.0,-0.0
0,16,-0.005342324830880578,-0.0,-0.0
0,17,-0.0056120863138232405,-0.0,-0.0
0,18,-0.005920985565205992,-0.0,-0.0
0,19,-0.00617427291983559,-0.0,-0.0
0,20,-0.006470674407915212,-0.0,-0.0
0,21,-0.006706609248574875,-0.0,-0.0
0,22,-0.006989416524360757,-0.0,-0.0
0,23,-0.007207283680992659,-0.0,-0.0
0,24,-0.007475537759039253,-0.0,-0.0
0,25,-0.007674780664303763,-0.0,-0.0
0,26,-0.007927655680538727,-0.0,-0.0
0,27,-0.008107868069453163,-0.0,-0.0
0,28,-0.008344663696612966,-0.0,-0.0
0,29,-0.008505578043926251,-0.0,-0.0
0,30,-0.0087257091428353,-0.0,-0.0
0,31,-0.00886718237019016,-0.0,-0.0
0,32,-0.00907016644567205,-0.0,-0.0
0,33,-0.009192163515076431,-0.0,-0.0
0,34,-0.009377606611144161,-0.0,-0.0
0,35,-0.0094801826803689,-0.0,-0.0
0,36,-0.009647764388224022,-0.0,-0.0
0,37,-0.009731046235673302,-0.0,-0.0
0,38,-0.009880504499008883,-0.0,-0.0
0,39,-0.009944671929964973,-0.0,-0.0
0,40,-0.010075788315635298,-0.0,-0.0
0,41,-0.010121056239615659,-0.0,-0.0
0,42,-0.010233642299912667,-0.0,-0.0
0,43,-0.010260244122661485,-0.0,-0.0
0,44,-0.010354129411570311,-0.0,-0.0
0,45,-0.010362302318578638,-0.0,-0.0
