x,y,E_x,E_y,E_z
0,0,-0.0,-0.0,-0.0
0,1,-2.1857297411524586e-06,-0.0,-0.0
0,2,-4.372133140388407e-06,-0.0,-0.0
0,3,-6.556034118406112e-06,-0.0,-0.0
0,4,-8.741916245248714e-06,-0.0,-0.0
0,5,-1.0922729046643396e-05,-0.0,-0.0
0,6,-1.3106710465143501e-05,-0.0,-0.0
0,7,-1.5282925560457545e-05,-0.0,-0.0
0,8,-1.7463294979355736e-05,-0.0,-0.0
0,9,-1.963300331185337e-05,-0.0,-0.0
0,10,-2.1807565926744018e-05,-0.0,-0.0
0,11,-2.3968304652132963e-05,-0.0,-0.0
0,12,-2.613422543024113e-05,-0.0,-0.0
0,13,-2.828281866011639e-05,-0.0,-0.0
0,14,-3.0436461129682156e-05,-0.0,-0.0
0,15,-3.2568857059869164e-05,-0.0,-0.0
0,16,-3.4705619912646193e-05,-0.0,-0.0
0,17,-3.681672767996246e-05,-0.0,-0.0
0,18,-3.8930883666015376e-05,-0.0,-0.0
0,19,-4.1014415642447236e-05,-0.0,-0.0
0,20,-4.3098959774714524e-05,-0.0,-0.0
0,21,-4.514728768773202e-05,-0.0,-0.0
0,22,-4.719380455182726e-05,-0.0,-0.0
0,23,-4.919784064010731e-05,-0.0,-0.0
0,24,-5.119640339752618e-05,-0.0,-0.0
0,25,-5.3145520490993174e-05,-0.0,-0.0
0,26,-5.5084636629334105e-05,-0.0,-0.0
0,27,-5.696664317771764e-05,-0.0,-0.0
0,28,-5.8833263736461114e-05,-0.0,-0.0
0,29,-6.063445088389131e-05,-0.0,-0.0
0,30,-6.241406020666587e-05,-0.0,-0.0
0,31,-6.411933742981288e-05,-0.0,-0.0
0,32,-6.579613886402337e-05,-0.0,-0.0
0,33,-6.738927187624331e-05,-0.0,-0.0
0,34,-6.894648072738631e-05,-0.0,-0.0
0,35,-7.041043985838981e-05,-0.0,-0.0
0,36,-7.183068799610405e-05,-0.0,-0.0
0,37,-7.31481069456776e-05,-0.0,-0.0
0,38,-7.4413953827409e-05,-0.0,-0.0
0,39,-7.556768789363668e-05,-0.0,-0.0
0,40,-7.666222103746073e-05,-0.0,-0.0
0,41,-7.763598155939343e-05,-0.0,-0.0
0,42,-7.854347689636193e-05,-0.0,-0.0
0,43,-7.932250626175087e-05,-0.0,-0.0
0,44,-8.002910712470559e-05,-0.0,-0.0
0,45,-8.06008482712966e-05,-0.0,-0.0
0,46,-8.109521314642185e-05,-0.0,-0.0
0,47,-8.144992116136764e-05,-0.0,-0.0
0,48,-8.172378676896846e-05,-0.0,-0.0
0,49,-8.185502976275047e-05,-0.0,-0.0
0,50,-8.19036389841268e-05,-0.0,-0.0
0,51,-8.180864184618266e-05,-0.0,-0.0
0,52,-8.163099586381444e-05,-0.0,-0.0
0,53,-8.131079354621434e-05,-0.0,-0.0
0,54,-8.090970339513792e-05,-0.0,-0.0
0,55,-8.036908844464263e-05,-0.0,-0.0
0,56,-7.975102081715487e-05,-0.0,-0.0
0,57,-7.8998290328648e-05,-0.0,-0.0
0,58,-7.817302292728138e-05,-0.0,-0.0
0,59,-7.721954973636803e-05,-0.0,-0.0
0,60,-7.619966954491599e-05,-0.0,-0.0
0,61,-7.505933830939856e-05,-0.0,-0.0
0,62,-7.385962919248706e-05,-0.0,-0.0
0,63,-7.254818786476533e-05,-0.0,-0.0
0,64,-7.118496033960802e-05,-0.0,-0.0
0,65,-6.971934048522302e-05,-0.0,-0.0
0,66,-6.820975608419852e-05,-0.0,-0.0
0,67,-6.660741194560254e-05,-0.0,-0.0
0,68,-6.496884826842533e-05,-0.0,-0.0
0,69,-6.32471558469858e-05,-0.0,-0.0
0,70,-6.149664798418875e-05,-0.0,-0.0
0,71,-5.967239374563596e-05,-0.0,-0.0
0,72,-5.782617537190027e-05,-0.0,-0.0
0,73,-5.591515158600392e-05,-0.0,-0.0
0,74,-5.39883066686879e-05,-0.0,-0.0
0,75,-5.2005018667551846e-05,-0.0,-0.0
0,76,-5.0011243946226046e-05,-0.0,-0.0
0,77,-4.796872496359625e-05,-0.0,-0.0
0,78,-4.592019505517822e-05,-0.0,-0.0
0,79,-4.382991740925826e-05,-0.0,-0.0
0,80,-4.17372389113286e-05,-0.0,-0.0
0,81,-3.96091061914958e-05,-0.0,-0.0
0,82,-3.748134435322317e-05,-0.0,-0.0
0,83,-3.53237476532186e-05,-0.0,-0.0
0,84,-3.316850861576237e-05,-0.0,-0.0
0,85,-3.0988430190801305e-05,-0.0,-0.0
0,86,-2.8811982884722266e-05,-0.0,-0.0
0,87,-2.6615132296808164e-05,-0.0,-0.0
0,88,-2.44225562304766e-05,-0.0,-0.0
0,89,-2.2213526521644368e-05,-0.0,-0.0
0,90,-2.0008874382688408e-05,-0.0,-0.0
0,91,-1.7791308614807066e-05,-0.0,-0.0
0,92,-1.5577775430594115e-05,-0.0,-0.0
0,93,-1.335453670811959e-05,-0.0,-0.0
0,94,-1.1134629986268783e-05,-0.0,-0.0
0,95,-8.907970606314794e-06,-0.0,-0.0
0,96,-6.683678224732551e-06,-0.0,-0.0
0,97,-4.4554057444308656e-06,-0.0,-0.0
0,98,-2.228360288143605e-06,-0.0,-0.0
0,99,-0.0,-0.0,-0.0
1,0,-0.0,-2.1857297411524586e-06,-0.0
1,1,-2.186066567220228e-06,-2.1860665701942037e-06,7.279307931241069e-10
1,2,-4.370893314998318e-06,-2.185152188626827e-06,1.4544166730830133e-09
1,3,-6.5570702477411865e-06,-2.1848915524301533e-06,2.181040350902031e-09
1,4,-8.739495588645575e-06,-2.183347464118642e-06,2.903333614776222e-09
1,5,-1.0924541585416773e-05,-2.1823971099473937e-06,3.6258989867662614e-09
