phi,E,r
0.0,0.0,70.71067811865476
0.0,2.1857297411524586e-06,70.00714249274856
0.0,4.372133140388407e-06,69.31089380465383
0.0,6.556034118406112e-06,68.62215385719105
0.0,8.741916245248714e-06,67.94115100585212
0.0,1.0922729046643396e-05,67.26812023536856
0.0,1.3106710465143501e-05,66.60330322138685
0.0,1.5282925560457545e-05,65.94694837519019
0.0,1.7463294979355736e-05,65.29931086925804
0.0,1.963300331185337e-05,64.66065264130884
0.0,2.1807565926744018e-05,64.03124237432849
0.0,2.3968304652132963e-05,63.41135544995076
0.0,2.613422543024113e-05,62.80127387243033
0.0,2.828281866011639e-05,62.20128616033595
0.0,3.0436461129682156e-05,61.61168720299745
0.0,3.2568857059869164e-05,61.032778078668514
0.0,3.4705619912646193e-05,60.4648658313239
0.0,3.681672767996246e-05,59.90826320300064
0.0,3.8930883666015376e-05,59.36328831862332
0.0,4.1014415642447236e-05,58.83026432033091
0.0,4.3098959774714524e-05,58.309518948453004
0.0,4.514728768773202e-05,57.8013840664737
0.0,4.719380455182726e-05,57.30619512757761
0.0,4.919784064010731e-05,56.824290580701486
0.0,5.119640339752618e-05,56.356011214421486
0.0,5.3145520490993174e-05,55.90169943749474
0.0,5.5084636629334105e-05,55.46169849544819
0.0,5.696664317771764e-05,55.036351623268054
0.0,5.8833263736461114e-05,54.62600113499065
0.0,6.063445088389131e-05,54.230987451824994
0.0,6.241406020666587e-05,53.85164807134504
0.0,6.411933742981288e-05,53.48831648126533
0.0,6.579613886402337e-05,53.14132102234569
0.0,6.738927187624331e-05,52.81098370604357
0.0,6.894648072738631e-05,52.49761899362675
0.0,7.041043985838981e-05,52.20153254455275
0.0,7.183068799610405e-05,51.92301994298868
0.0,7.31481069456776e-05,51.66236541235796
0.0,7.4413953827409e-05,51.419840528729765
0.0,7.556768789363668e-05,51.19570294468082
0.0,7.666222103746073e-05,50.99019513592785
0.0,7.763598155939343e-05,50.80354318352215
0.0,7.854347689636193e-05,50.635955604688654
0.0,7.932250626175087e-05,50.48762224545735
0.0,8.002910712470559e-05,50.35871324805669
0.0,8.06008482712966e-05,50.24937810560445
0.0,8.109521314642185e-05,50.15974481593781
0.0,8.144992116136764e-05,50.08991914547278
0.0,8.172378676896846e-05,50.039984012787215
0.0,8.185502976275047e-05,50.00999900019995
0.0,8.19036389841268e-05,50.0
0.0,8.180864184618266e-05,50.00999900019995
0.0,8.163099586381444e-05,50.039984012787215
0.0,8.131079354621434e-05,50.08991914547278
0.0,8.090970339513792e-05,50.15974481593781
0.0,8.036908844464263e-05,50.24937810560445
0.0,7.975102081715487e-05,50.35871324805669
0.0,7.8998290328648e-05,50.48762224545735
0.0,7.817302292728138e-05,50.635955604688654
0.0,7.721954973636803e-05,50.80354318352215
0.0,7.619966954491599e-05,50.99019513592785
0.0,7.505933830939856e-05,51.19570294468082
0.0,7.385962919248706e-05,51.419840528729765
0.0,7.254818786476533e-05,51.66236541235796
0.0,7.118496033960802e-05,51.92301994298868
0.0,6.971934048522302e-05,52.20153254455275
0.0,6.820975608419852e-05,52.49761899362675
0.0,6.660741194560254e-05,52.81098370604357
0.0,6.496884826842533e-05,53.14132102234569
0.0,6.32471558469858e-05,53.48831648126533
0.0,6.149664798418875e-05,53.85164807134504
0.0,5.967239374563596e-05,54.230987451824994
0.0,5.782617537190027e-05,54.62600113499065
0.0,5.591515158600392e-05,55.036351623268054
0.0,5.39883066686879e-05,55.46169849544819
0.0,5.2005018667551846e-05,55.90169943749474
0.0,5.0011243946226046e-05,56.356011214421486
0.0,4.796872496359625e-05,56.824290580701486
0.0,4.592019505517822e-05,57.30619512757761
0.0,4.382991740925826e-05,57.8013840664737
0.0,4.17372389113286e-05,58.309518948453004
0.0,3.96091061914958e-05,58.83026432033091
0.0,3.748134435322317e-05,59.36328831862332
0.0,3.53237476532186e-05,59.90826320300064
0.0,3.316850861576237e-05,60.4648658313239
0.0,3.0988430190801305e-05,61.032778078668514
0.0,2.8811982884722266e-05,61.61168720299745
0.0,2.6615132296808164e-05,62.20128616033595
0.0,2.44225562304766e-05,62.80127387243033
0.0,2.2213526521644368e-05,63.41135544995076
0.0,2.0008874382688408e-05,64.03124237432849
0.0,1.7791308614807066e-05,64.66065264130884
0.0,1.5577775430594115e-05,65.29931086925804
0.0,1.335453670811959e-05,65.94694837519019
0.0,1.1134629986268783e-05,66.60330322138685
0.0,8.907970606314794e-06,67.26812023536856
0.0,6.683678224732551e-06,67.94115100585212
0.0,4.4554057444308656e-06,68.62215385719105
0.0,2.228360288143605e-06,69.31089380465383
0.0,0.0,70.00714249274856
0.0,2.1857297411524586e-06,70.00714249274856
2.1857297411524586e-06,3.0915650754143798e-06,69.29646455628166
4.372133140388407e-06,4.886675820420816e-06,68.59300255857006
6.556034118406112e-06,6.911506788438417e-06,67.89698078707183
8.741916245248714e-06,9.00809623185581e-06,67.20863039818622
1.0922729046643396e-05,1.1140398518192723e-05,66.52818951391959
1.3106710465143501e-05,1.328335089650683e-05,65.85590330410783
1.5282925560457545e-05,1.5440073805000886e-05,65.19202405202648
1.7463294979355736e-05,1.759388990923772e-05,64.53681120105021
1.963300331185337e-05,1.975657963890712e-05,63.89053137985315
2.1807565926744018e-05,2.1910043443581234e-05,63.25345840347388
2.3968304652132963e-05,2.407084120853713e-05,62.625873247404705
2.613422543024113e-05,2.6217766039000594e-05,62.00806399170998
2.828281866011639e-05,2.8371219094403955e-05,61.40032573203501
3.0436461129682156e-05,3.0506471708163248e-05,60.802960454241045
3.2568857059869164e-05,3.2647391968783536e-05,60.21627686929839
3.4705619912646193e-05,3.476562695871406e-05,59.64059020499378
3.681672767996246e-05,3.688828042545138e-05,59.07622195096772
3.8930883666015376e-05,3.898337967082604e-05,58.52349955359813
4.1014415642447236e-05,4.108107370913517e-05,57.982756057296896
4.3098959774714524e-05,4.314582528027374e-05,57.4543296888929
4.514728768773202e-05,4.5210649968030565e-05,56.938563381947034
4.719380455182726e-05,4.723653467630532e-05,56.43580423808985
