phi,x,y
0.0,0,0
0.0,0,1
0.0,0,2
0.0,0,3
0.0,0,4
0.0,0,5
0.0,0,6
0.0,0,7
0.0,0,8
0.0,0,9
0.0,0,10
0.0,0,11
0.0,0,12
0.0,0,13
0.0,0,14
0.0,0,15
0.0,0,16
0.0,0,17
0.0,0,18
0.0,0,19
0.0,0,20
0.0,0,21
0.0,0,22
0.0,0,23
0.0,0,24
0.0,0,25
0.0,0,26
0.0,0,27
0.0,0,28
0.0,0,29
0.0,0,30
0.0,0,31
0.0,0,32
0.0,0,33
0.0,0,34
0.0,0,35
0.0,0,36
0.0,0,37
0.0,0,38
0.0,0,39
0.0,0,40
0.0,0,41
0.0,0,42
0.0,0,43
0.0,0,44
0.0,0,45
0.0,0,46
0.0,0,47
0.0,0,48
0.0,0,49
0.0,0,50
0.0,0,51
0.0,0,52
0.0,0,53
0.0,0,54
0.0,0,55
0.0,0,56
0.0,0,57
0.0,0,58
0.0,0,59
0.0,0,60
0.0,0,61
0.0,0,62
0.0,0,63
0.0,0,64
0.0,0,65
0.0,0,66
0.0,0,67
0.0,0,68
0.0,0,69
0.0,0,70
0.0,0,71
0.0,0,72
0.0,0,73
0.0,0,74
0.0,0,75
0.0,0,76
0.0,0,77
0.0,0,78
0.0,0,79
0.0,0,80
0.0,0,81
0.0,0,82
0.0,0,83
0.0,0,84
0.0,0,85
0.0,0,86
0.0,0,87
0.0,0,88
0.0,0,89
0.0,0,90
0.0,0,91
0.0,0,92
0.0,0,93
0.0,0,94
0.0,0,95
0.0,0,96
0.0,0,97
0.0,0,98
0.0,0,99
0.0,1,0
0.018767348722171378,1,1
0.03465861173640124,1,2
0.05203044592905867,1,3
0.06263539432566052,1,4
0.07511650991264375,1,5
0.08096426293170847,1,6
0.08754398699433073,1,7
0.09083902730197424,1,8
0.09262321957449483,1,9
0.0953089549850955,1,10
0.09413900460722174,1,11
0.09700374064230151,1,12
0.0944749263919273,1,13
0.09738840794598935,1,14
0.09460508211290723,1,15
0.09710382718047351,1,16
0.09472694533934857,1,17
0.09648946086638528,1,18
0.09469813760225664,1,19
0.09586367422967114,1,20
0.09431812092886198,1,21
0.09552370301344569,1,22
0.09363205491673965,1,23
0.0956012245273453,1,24
0.09303550465799748,1,25
0.09599807825024755,1,26
0.09296926046870568,1,27
0.09648448581228769,1,28
0.09352041548136732,1,29
0.09682151448881564,1,30
0.09439216847189723,1,31
0.09683627973641422,1,32
0.09519242566596692,1,33
0.0965087296146311,1,34
0.09565815424372019,1,35
0.0960045427817569,1,36
0.09570473081121757,1,37
0.09555110852136951,1,38
0.09543232554736066,1,39
0.09528348281710403,1,40
0.09506257142689724,1,41
0.09523216431046172,1,42
0.09473668879702914,1,43
0.09538568500195362,1,44
0.09439344828525408,1,45
0.09570469477000414,1,46
0.09392558199485573,1,47
0.09614221004365554,1,48
0.09336806905636282,1,49
0.09671546127800085,1,50
0.0928537676556729,1,51
0.09749520931823963,1,52
0.09252964363592707,1,53
0.09843493254953913,1,54
0.09260376880497828,1,55
0.09922203129878283,1,56
0.09329553772122647,1,57
0.09939899614343502,1,58
0.09460455129124133,1,59
0.09874622754238478,1,60
0.09622021507246227,1,61
0.09758279474454362,1,62
0.09773724543285667,1,63
0.09662135358389261,1,64
0.0989100216269565,1,65
0.09644405404930882,1,66
0.09968576554842001,1,67
0.09707451523780423,1,68
0.10008447398557929,1,69
0.097997366036014,1,70
0.10012019858514008,1,71
0.0985529197470159,1,72
0.09982105944956234,1,73
0.09839922759426246,1,74
0.09926949018342686,1,75
0.09770169125413157,1,76
0.09858918308013648,1,77
0.09686437275894876,1,78
0.09789984382165769,1,79
0.0960794814954888,1,80
0.09729129827221984,1,81
0.09524551469216358,1,82
0.09679957805513172,1,83
0.094314678823752,1,84
0.09635545058690072,1,85
0.09349487944026218,1,86
0.0956984883552851,1,87
0.09285321831483517,1,88
0.09415003722751618,1,89
0.09146407108568912,1,90
0.09013721456151029,1,91
0.08668907821931211,1,92
0.08083271715594158,1,93
0.07449560651943268,1,94
0.06290853400172698,1,95
0.051589116577416994,1,96
0.03495751188972925,1,97
0.01859531604637393,1,98
0.0,1,99
0.0,2,0
0.034566173920909125,2,1
0.07076122160150425,2,2
0.09664131398069746,2,3
0.12629927537849073,2,4
0.14170083545657047,2,5
0.1603139161266484,2,6
0.1683922932548275,2,7
0.1763353103177759,2,8
0.18155186825158123,2,9
0.18196704737732894,2,10
0.18708906083482327,2,11
0.18338430324276855,2,12
0.18897030218989566,2,13
0.18371325908893865,2,14
0.1890749478678364,2,15
0.18395009559276623,2,16
0.1882187218554836,2,17
0.18407876857083902,2,18
0.18698710739285862,2,19
0.1837055818575454,2,20
0.1860024480531787,2,21
0.18262855443830817,2,22
0.18573076235060956,2,23
0.1813058899521399,2,24
0.18621211854700895,2,25
0.18064225887713273,2,26
0.1870963098970043,2,27
0.18118129219134146,2,28
0.18790599039463665,2,29
0.18264475028694563,2,30
