phi,x,y
0.0,0,0
0.0,0,1
0.0,0,2
0.0,0,3
0.0,0,4
0.0,0,5
0.0,0,6
0.0,0,7
0.0,0,8
0.0,0,9
0.0,0,10
0.0,0,11
0.0,0,12
0.0,0,13
0.0,0,14
0.0,0,15
0.0,0,16
0.0,0,17
0.0,0,18
0.0,0,19
0.0,0,20
0.0,0,21
0.0,0,22
0.0,0,23
0.0,0,24
0.0,0,25
0.0,0,26
0.0,0,27
0.0,0,28
0.0,0,29
0.0,0,30
0.0,0,31
0.0,0,32
0.0,0,33
0.0,0,34
0.0,0,35
0.0,0,36
0.0,0,37
0.0,0,38
0.0,0,39
0.0,0,40
0.0,0,41
0.0,0,42
0.0,0,43
0.0,0,44
0.0,0,45
0.0,0,46
0.0,0,47
0.0,0,48
0.0,0,49
0.0,1,0
4.260364935716411e-06,1,1
8.523565564451101e-06,1,2
1.2782587808411043e-05,1,3
1.7048236427662794e-05,1,4
2.1301941999735568e-05,1,5
2.556051039800189e-05,1,6
2.979238232418795e-05,1,7
3.4018430876276775e-05,1,8
3.819308589346162e-05,1,9
4.2339574997655876e-05,1,10
4.63979217207315e-05,1,11
5.0392478938042405e-05,1,12
5.424936747343003e-05,1,13
5.799362731456293e-05,1,14
6.153916021993576e-05,1,15
6.491231888365393e-05,1,16
6.801783272422736e-05,1,17
7.088516748519795e-05,1,18
7.341423742504845e-05,1,19
7.564040988325992e-05,1,20
7.746404805590904e-05,1,21
7.892963875753537e-05,1,22
7.994339800833299e-05,1,23
8.05617130913456e-05,1,24
8.070121806054942e-05,1,25
8.043160618457583e-05,1,26
7.968276770984229e-05,1,27
7.853705652430424e-05,1,28
7.69382615956205e-05,1,29
7.497856656474931e-05,1,30
7.261424339066225e-05,1,31
6.994276036293452e-05,1,32
6.693007692542462e-05,1,33
6.367357790404341e-05,1,34
6.014567716051426e-05,1,35
5.643846664079702e-05,1,36
5.2528014561597956e-05,1,37
4.849684014278545e-05,1,38
4.432286288356661e-05,1,39
4.007608674617014e-05,1,40
3.5735668671863433e-05,1,41
3.135754908890103e-05,1,42
2.6922592436219562e-05,1,43
2.2472342085240588e-05,1,44
1.7990655720003088e-05,1,45
1.3505280970671548e-05,1,46
9.004863423884377e-06,1,47
4.504613486933267e-06,1,48
0.0,1,49
0.0,2,0
8.523565568807698e-06,2,1
1.7043718448213684e-05,2,2
2.557485608741714e-05,2,3
3.409213361868832e-05,2,4
4.262386981506395e-05,2,5
5.1120598859374726e-05,2,6
5.962059834515714e-05,2,7
6.804725077878026e-05,2,8
7.644505507968057e-05,2,9
8.470871965137892e-05,2,10
9.288590458659601e-05,2,11
0.00010084262742607649,2,12
0.00010862791873634456,2,13
0.0001160811818559863,2,14
0.00012325292093235115,2,15
0.00012996061227054731,2,16
0.00013625867249276815,2,17
0.00014195013688932765,2,18
0.00014709808357798735,2,19
0.0001515009684945475,2,20
0.00015523685210632582,2,21
0.00015811065157415012,2,22
0.00016022181413978063,2,23
0.00016139209295536476,2,24
0.0001617468773625804,2,25
0.000161132455265127,2,26
0.00015970110922598787,2,27
0.00015732720832938363,2,28
0.00015418638530372857,2,29
0.0001501801251402274,2,30
0.00014549973820757723,2,31
0.00014006924413201041,2,32
0.00013408531069958416,2,33
0.00012748805662119768,2,34
0.00012046855539627957,2,35
0.00011297667558167018,2,36
0.00010518816489958796,2,37
9.705787656586448e-05,2,38
8.873892599574286e-05,2,39
8.01887191753062e-05,2,40
7.153328960953998e-05,2,41
6.27325348516325e-05,2,42
5.3883633831035596e-05,2,43
4.49508539285772e-05,2,44
3.600291219715431e-05,2,45
2.701164566283376e-05,2,46
1.8019278150269285e-05,2,47
9.00914218616395e-06,2,48
0.0,2,49
0.0,3,0
1.2782587844926781e-05,3,1
2.5574856109021537e-05,3,2
3.835707620255207e-05,3,3
5.116263897728908e-05,3,4
6.39372242232937e-05,3,5
7.673195517605916e-05,3,6
8.945351582398772e-05,3,7
0.00010216484666225318,3,8
0.00011473042224278706,3,9
0.00012721970248736123,3,10
0.00013945356988676464,3,11
0.0001515041281795281,3,12
0.00016314997145148077,3,13
0.00017446436902989943,3,14
0.00018518852923426877,3,15
0.00019539870784343486,3,16
0.00020480787130028417,3,17
0.00021350080731420253,3,18
0.0002211755483188624,3,19
0.00022793417795886526,3,20
0.00023347606899248613,3,21
0.00023793086647580874,3,22
0.0002410161234451589,3,23
0.00024289805656763585,3,24
0.00024332666521766977,3,25
0.0002425094466240481,3,26
0.0002402376470885169,3,27
0.00023675823342517993,3,28
0.00023190549976164786,3,29
0.00022595710202620836,3,30
0.00021878564105835482,3,31
0.00021068525405682439,3,32
0.00020155779320661754,3,33
0.0001916971417819266,3,34
0.00018102409042950452,3,35
0.0001698161551082335,3,36
0.00015800426427098053,3,37
0.0001458364870906502,3,38
0.00013324833389620168,3,39
0.00012044959188340324,3,40
0.00010737856557875695,3,41
9.420226005214056e-05,3,42
8.086334686137152e-05,3,43
