omega,t
1.0,213
1.01,210
1.02,208
1.03,205
1.04,203
1.05,199
1.06,198
1.07,195
1.08,193
1.09,191
1.1,188
1.11,185
1.12,184
1.13,181
1.14,179
1.15,177
1.16,174
1.17,173
1.18,170
1.19,168
1.2,166
1.21,163
1.22,162
1.23,159
1.24,156
1.25,154
1.26,152
1.27,150
1.28,149
1.29,146
1.3,144
1.31,141
1.32,140
1.33,138
1.34,136
1.35,133
1.36,131
1.37,129
1.38,128
1.39,125
1.4,123
1.41,121
1.42,119
1.43,117
1.44,115
1.45,114
1.46,111
1.47,109
1.48,107
1.49,106
1.5,103
1.51,102
1.52,100
1.53,98
1.54,96
1.55,94
1.56,92
1.57,90
1.58,88
1.59,86
1.6,85
1.61,82
1.62,80
1.63,79
1.64,77
1.65,75
1.66,73
1.67,71
1.68,69
1.69,67
1.7,65
1.71,64
1.72,62
1.73,60
1.74,58
1.75,56
1.76,55
1.77,54
1.78,54
1.79,57
1.8,62
1.81,64
1.82,69
1.83,73
1.84,73
1.85,82
1.86,88
1.87,88
1.88,88
1.89,91
1.9,96
1.91,102
1.92,109
1.93,120
1.94,144
1.95,175
1.96,204
1.97,268
1.98,394
1.99,786
