omega,t
1.0,325
1.01,325
1.02,325
1.03,324
1.04,324
1.05,323
1.06,322
1.07,321
1.08,320
1.09,319
1.1,316
1.11,316
1.12,312
1.13,312
1.14,309
1.15,307
1.16,305
1.17,304
1.18,301
1.19,298
1.2,296
1.21,293
1.22,290
1.23,288
1.24,285
1.25,283
1.26,280
1.27,278
1.28,275
1.29,272
1.3,269
1.31,267
1.32,263
1.33,260
1.34,258
1.35,254
1.36,252
1.37,249
1.38,246
1.39,242
1.4,239
1.41,237
1.42,233
1.43,230
1.44,227
1.45,224
1.46,221
1.47,217
1.48,214
1.49,211
1.5,207
1.51,204
1.52,201
1.53,197
1.54,194
1.55,191
1.56,188
1.57,184
1.58,181
1.59,178
1.6,174
1.61,171
1.62,167
1.63,164
1.64,160
1.65,157
1.66,153
1.67,150
1.68,146
1.69,143
1.7,139
1.71,136
1.72,132
1.73,128
1.74,125
1.75,121
1.76,117
1.77,113
1.78,110
1.79,106
1.8,102
1.81,98
1.82,95
1.83,91
1.84,89
1.85,88
1.86,92
1.87,98
1.88,108
1.89,117
1.9,128
1.91,138
1.92,148
1.93,153
1.94,163
1.95,180
1.96,225
1.97,295
1.98,427
1.99,797
